Below are data for ortho-tolunitrile in purely electrostatic and CN-HB-conditions with water and MeOH.
Electric fields and HB geometry are reported together with vibrational frequencies and TDMs of the CN.
See 10.26434/chemrxiv-2024-rjm5p for further details

EF_x	EF_y	EF_z	env	HB_angle	HB_distance	v
-13.7168	-1.2545	-21.4462	H2O	170.00	3.75	2237.05
-14.9910	-3.0591	-20.4303	H2O	160.00	3.75	2236.68
-16.0658	-4.7893	-19.1280	H2O	150.00	3.75	2236.02
-16.9517	-6.4440	-17.6001	H2O	140.00	3.75	2235.17
-18.1618	-9.5887	-14.2451	H2O	120.00	3.75	2233.14
-18.2085	-10.2950	-12.6215	H2O	110.00	3.75	2232.39
-17.8429	-11.5204	-11.6265	H2O	100.00	3.75	2231.66
-16.8181	-12.3219	-11.8700	H2O	90.00	3.75	2229.46
-16.4216	-13.5931	-11.6029	H2O	80.00	3.75	2224.73
-14.1791	-0.1833	-21.2518	H2O	170.00	3.75	2237.11
-17.8190	-0.0240	-18.2857	H2O	150.00	3.75	2236.28
-22.0168	-0.0470	-12.4472	H2O	120.00	3.75	2234.01
-23.1393	-0.0193	-10.8062	H2O	110.00	3.75	2232.97
-23.8163	0.0004	-10.4676	H2O	100.00	3.75	2230.30
-24.1140	-0.0004	-11.5832	H2O	90.00	3.75	2222.22
-10.9728	0.4271	-16.7328	H2O	170.00	4.00	2236.01
-12.5543	-0.4077	-15.7272	H2O	160.00	4.00	2235.82
-13.9313	0.2728	-14.4795	H2O	150.00	4.00	2235.39
-15.1035	0.1071	-13.1342	H2O	140.00	4.00	2234.89
-17.1540	-0.0359	-10.1694	H2O	120.00	4.00	2233.80
-17.9632	-0.0604	-8.9557	H2O	110.00	4.00	2233.19
-16.8906	-2.6688	-9.4166	H2O	100.00	4.00	2232.10
-14.0679	-6.3487	-10.3133	H2O	90.00	4.00	2229.80
-11.0963	-9.9865	-10.1878	H2O	80.00	4.00	2227.78
-7.0295	-12.4537	-8.8362	H2O	70.00	4.00	2227.14
